block_id,x,y,z,tonnage_kt,ore_grade_pct,waste_ratio,mining_cost_t,processing_cost_t,revenue_per_t,slope_constraint,period_available,ghg_kg_co2_per_t,stripping_ratio,npv_per_t
B0270,900,500,-100,392.8,0.894,2.0,4.07,12.57,80.74,1,7,30.46,1.79,64.1
B0271,500,650,-70,510.1,0.986,2.26,4.66,10.04,58.74,2,2,28.54,3.98,44.04
B0272,0,200,-80,459.2,0.894,2.05,4.37,10.01,71.77,1,6,33.85,2.17,57.39
B0273,700,850,-50,418.3,0.958,1.5,4.22,9.08,99.51,2,10,24.19,3.1,86.21
B0274,900,750,-40,514.1,0.673,1.72,3.26,14.88,91.26,2,3,36.5,0.95,73.12
B0275,350,250,-60,538.9,0.762,2.77,5.29,15.62,100.57,1,4,25.39,2.72,79.66
B0276,450,550,-30,615.8,0.642,1.34,5.22,14.55,71.65,1,8,27.11,1.99,51.88
B0277,700,600,-80,392.8,0.935,2.93,4.06,14.46,84.45,3,6,25.14,2.98,65.93
B0278,900,50,-80,542.8,0.79,1.72,3.92,9.37,62.63,3,10,31.66,3.53,49.34
B0279,400,800,-90,406.4,0.757,3.32,4.12,10.28,78.17,3,7,30.39,3.5,63.77
B0280,350,950,-20,578.0,0.859,1.72,4.18,13.83,117.48,2,3,34.69,2.42,99.47
B0281,200,950,-70,517.8,0.825,3.22,4.72,10.81,86.92,3,9,17.11,3.09,71.39
B0282,600,150,-90,571.8,0.814,2.38,2.86,11.9,99.74,1,1,27.75,4.54,84.98
B0283,500,0,-40,479.0,1.1,2.59,4.38,9.43,76.43,3,1,30.55,2.42,62.62
B0284,500,850,-30,599.6,0.651,3.17,3.26,12.6,79.46,3,5,30.83,2.4,63.6
B0285,650,550,-80,418.7,0.688,2.77,3.35,16.65,92.71,1,4,25.93,1.65,72.71
B0286,0,250,-20,510.0,0.916,2.44,4.5,14.42,114.38,1,5,28.88,2.82,95.46
B0287,850,500,-70,564.2,0.75,2.2,4.2,12.38,77.1,3,1,30.35,2.11,60.52
B0288,600,400,-40,575.5,0.634,1.01,4.52,9.64,107.82,1,6,23.61,1.95,93.66
B0289,900,350,-20,414.1,0.425,3.69,3.49,9.38,111.66,1,4,23.43,1.0,98.79
B0290,150,800,-40,474.7,0.718,1.75,3.21,13.02,76.08,3,1,31.76,1.72,59.85
B0291,0,200,-60,436.6,0.847,3.08,4.44,10.64,77.94,3,5,28.05,1.8,62.86
B0292,750,150,-10,523.3,0.757,2.54,3.23,12.2,83.89,2,4,27.51,3.51,68.46
B0293,150,200,-100,538.9,0.817,1.12,3.12,9.09,77.55,2,2,31.13,2.34,65.34
B0294,300,700,-90,508.4,0.652,1.83,4.15,11.19,91.7,1,5,23.05,1.8,76.36
B0295,450,250,-40,449.5,0.935,2.8,3.26,11.15,57.44,2,2,20.16,3.87,43.03
B0296,50,200,-60,570.1,0.717,1.65,3.88,11.38,61.55,1,3,24.82,3.1,46.29
B0297,250,600,-20,440.5,0.996,1.72,3.86,15.33,96.32,1,6,25.41,1.77,77.13
B0298,400,900,-80,378.4,0.866,2.93,4.32,10.68,117.1,3,1,22.37,2.78,102.1
B0299,300,100,-20,449.3,0.898,2.49,4.36,11.3,100.71,2,7,32.31,3.5,85.05
B0300,300,350,-10,447.0,0.875,3.32,5.29,12.04,61.81,1,2,25.39,2.06,44.48
B0301,900,650,-50,450.4,0.778,2.25,3.43,11.86,70.24,2,8,31.41,2.66,54.95
B0302,300,700,-10,519.1,0.829,1.17,2.95,17.19,77.86,2,3,36.91,1.08,57.72
B0303,750,350,-10,432.3,0.783,1.75,2.83,12.28,61.54,1,9,30.13,2.92,46.43
B0304,850,350,-80,565.5,1.002,2.71,4.43,12.63,48.21,2,1,24.0,4.08,31.15
B0305,300,600,-100,509.6,0.595,2.09,4.54,9.64,93.17,3,4,29.58,3.53,78.99
B0306,750,200,-10,477.4,1.078,3.31,4.5,12.25,61.38,2,6,36.73,2.41,44.63
B0307,800,600,-20,539.5,0.681,1.65,4.95,12.28,78.49,3,7,34.79,1.89,61.26
B0308,0,550,-80,426.2,0.845,2.86,3.51,13.59,66.23,1,8,39.22,2.77,49.13
B0309,550,500,-90,500.4,0.778,2.06,3.9,12.34,97.55,2,7,25.97,3.79,81.31
B0310,50,700,-100,446.9,0.863,1.95,3.51,10.5,80.05,1,2,25.75,2.3,66.04
B0311,400,700,-70,481.4,0.875,1.93,2.57,13.81,74.26,1,5,31.22,2.55,57.88
B0312,900,500,-40,479.5,0.933,1.68,4.4,11.59,111.49,1,3,22.46,1.72,95.5
B0313,0,400,-80,446.1,0.733,2.07,4.57,13.51,83.5,1,8,28.58,1.97,65.42
B0314,550,800,-10,431.3,1.016,3.37,3.76,11.07,76.97,3,4,24.17,2.26,62.14
B0315,650,950,-50,495.6,0.971,4.88,3.82,9.39,84.78,2,9,22.79,2.24,71.57
B0316,600,100,-80,496.2,0.761,2.77,4.08,14.22,99.83,1,10,24.22,1.91,81.53
B0317,450,0,-20,594.8,1.112,2.58,4.37,13.27,96.06,3,7,30.27,1.95,78.42
B0318,0,650,-40,528.7,0.7,2.28,4.05,15.15,89.52,2,4,25.12,3.48,70.32
B0319,400,300,-50,320.1,0.922,1.77,3.91,13.0,76.89,2,5,29.39,2.95,59.98
B0320,700,900,-70,423.2,0.82,3.24,4.87,8.34,68.14,1,10,33.34,3.26,54.93
B0321,750,900,-70,497.6,0.686,2.5,4.3,11.69,109.08,2,8,31.39,3.13,93.09
B0322,550,0,-70,510.6,1.193,1.62,4.86,13.74,94.81,1,7,34.02,3.28,76.21
B0323,850,350,-60,473.2,0.85,4.0,4.63,13.1,98.81,3,8,30.92,3.14,81.08
B0324,150,950,-100,464.3,0.745,4.01,3.49,10.57,107.66,2,5,26.9,3.8,93.6
B0325,700,800,-40,499.1,0.835,3.0,5.14,8.4,90.97,1,1,36.98,4.26,77.43
B0326,750,300,-20,599.1,0.939,1.6,3.87,10.19,115.34,3,9,24.56,2.83,101.28
B0327,600,100,-50,580.3,0.658,1.82,4.28,11.17,67.15,1,4,25.91,3.43,51.7
B0328,900,750,-90,506.7,0.799,1.64,4.48,12.12,84.1,2,1,17.27,1.17,67.5
B0329,550,200,-40,524.4,0.898,4.01,3.75,15.17,76.58,3,9,27.49,2.4,57.66
B0330,450,400,-80,426.1,0.892,1.57,4.2,11.1,96.67,1,4,17.34,3.38,81.37
B0331,100,100,-50,436.4,0.829,2.02,4.82,10.01,49.81,3,3,24.68,0.94,34.98
B0332,600,550,-20,429.0,0.482,3.04,4.57,10.58,63.45,3,6,28.69,3.68,48.3
B0333,550,850,-10,492.6,0.724,2.38,3.72,14.81,64.72,3,6,33.75,1.14,46.19
B0334,450,550,-30,334.9,0.941,1.37,3.62,14.66,64.83,2,6,24.69,3.9,46.55
B0335,700,350,-50,496.2,0.992,2.96,4.05,15.03,75.67,2,2,32.8,4.15,56.59
B0336,800,50,-10,542.0,0.818,3.91,4.47,11.31,91.78,2,7,20.28,1.03,76.0
B0337,200,250,-60,571.1,0.744,1.87,4.47,9.7,75.41,2,5,24.19,3.03,61.24
B0338,150,700,-70,488.1,0.836,1.95,4.55,10.82,77.7,2,8,27.74,2.58,62.33
B0339,600,50,-30,365.1,0.963,3.4,4.4,15.35,89.03,3,5,30.27,3.4,69.28
B0340,650,500,-50,434.3,0.773,3.1,3.06,8.46,118.34,3,4,33.73,2.46,106.82
B0341,750,0,-30,543.5,1.255,1.62,3.8,14.45,84.3,2,5,26.48,2.42,66.05
B0342,100,600,-20,352.4,0.521,4.14,3.78,8.23,80.11,1,4,29.03,3.25,68.1
B0343,300,500,-70,488.5,0.946,1.78,5.16,9.24,93.25,1,4,28.63,3.49,78.85
B0344,750,700,-10,498.5,0.737,2.93,5.23,11.6,97.98,2,9,24.28,1.31,81.15
B0345,200,550,-90,574.4,0.591,1.42,3.95,11.97,74.27,2,5,34.19,3.37,58.35
B0346,500,850,-40,477.9,0.862,3.15,4.97,9.93,64.98,3,6,33.34,3.09,50.08
B0347,300,550,-30,465.5,0.792,1.69,4.09,12.09,78.94,3,9,22.27,2.35,62.76
B0348,550,800,-70,313.3,0.742,2.11,4.34,8.0,113.93,2,10,30.76,1.28,101.59
B0349,450,950,-90,552.0,0.714,1.87,4.26,11.9,69.7,2,5,33.97,2.18,53.54
B0350,650,900,-20,403.1,0.783,1.06,5.43,10.3,95.62,1,4,31.35,2.82,79.89
B0351,900,250,-80,415.3,0.847,1.66,4.5,10.46,103.7,1,8,22.44,0.82,88.74
B0352,450,150,-80,517.8,0.884,2.32,3.98,10.99,98.4,3,3,22.43,3.2,83.43
B0353,750,750,-20,375.1,1.063,1.46,5.6,12.23,83.87,1,10,23.08,2.33,66.04
B0354,150,650,-30,590.0,1.014,1.1,4.15,14.62,60.28,3,9,28.27,4.1,41.51
B0355,250,50,-70,588.6,0.799,2.52,4.42,11.53,83.68,1,5,19.11,2.75,67.73
B0356,250,450,-10,448.7,0.545,4.25,3.95,13.51,59.44,2,5,33.41,1.48,41.98
B0357,900,500,-70,493.1,0.697,2.82,3.79,8.91,76.64,1,9,28.68,3.19,63.94
B0358,850,450,-100,347.7,1.222,3.26,4.22,11.54,83.14,3,2,15.0,2.65,67.38
B0359,100,750,-100,439.9,1.119,2.54,4.25,14.47,83.71,1,1,38.95,2.45,64.99
B0360,350,550,-20,560.1,0.871,2.59,4.4,11.95,79.21,3,1,21.18,4.01,62.86
B0361,800,350,-100,572.9,0.752,2.4,2.5,10.29,63.18,3,1,35.05,1.75,50.39
B0362,100,50,-90,445.2,0.654,2.32,3.97,11.99,81.19,3,8,30.3,3.44,65.23
B0363,250,500,-40,468.3,0.764,1.61,4.12,10.41,82.38,3,5,33.73,2.5,67.85
B0364,600,250,-90,480.3,0.846,2.76,4.3,14.7,91.74,2,2,22.52,2.86,72.74
B0365,950,200,-70,322.9,0.658,1.63,4.63,11.98,81.16,1,10,29.76,3.31,64.55
B0366,750,100,-10,464.3,0.553,2.0,2.87,10.14,72.91,1,7,30.01,1.25,59.9
B0367,600,550,-90,501.3,0.636,0.88,4.06,12.22,96.45,1,8,34.1,2.67,80.17
B0368,500,550,-80,633.2,1.079,2.42,4.39,15.41,100.63,2,5,22.32,2.67,80.83
B0369,350,50,-50,603.4,0.784,1.5,5.4,11.37,89.7,1,5,28.49,2.24,72.93
B0370,150,450,-40,604.0,0.861,2.65,4.31,11.95,79.78,2,4,32.23,1.82,63.52
B0371,950,400,-90,617.7,0.869,2.58,4.9,10.07,95.0,3,7,22.55,2.69,80.03
B0372,500,350,-20,578.5,0.858,2.08,3.35,13.54,92.96,3,8,21.42,3.22,76.07
B0373,600,700,-90,454.0,0.601,1.14,4.26,12.02,77.37,2,9,21.57,3.79,61.09
B0374,650,400,-70,446.0,1.093,2.74,4.5,10.56,88.82,2,6,25.46,3.35,73.76
B0375,900,250,-60,491.6,0.863,3.66,3.74,13.56,72.41,2,2,25.24,2.3,55.11
B0376,50,550,-30,402.3,0.734,3.16,4.7,11.39,90.02,2,2,30.79,3.34,73.93
B0377,900,550,-70,623.5,0.786,3.06,3.51,14.64,71.86,1,3,29.15,2.11,53.71
B0378,750,650,-100,483.7,0.722,2.04,3.28,8.0,75.34,1,5,27.94,1.15,64.06
B0379,450,850,-40,544.2,0.714,2.78,4.5,11.95,87.55,3,8,24.61,3.68,71.1
B0380,500,800,-20,602.8,0.879,1.17,5.13,11.28,94.37,3,8,28.23,1.5,77.96
B0381,800,350,-60,576.4,0.236,1.58,4.73,10.78,81.95,2,9,30.97,1.84,66.44
B0382,900,200,-90,471.3,0.706,3.3,4.23,15.02,87.48,1,1,19.57,2.53,68.23
B0383,800,400,-20,331.1,0.634,1.59,3.99,12.5,61.7,2,5,24.92,2.39,45.21
B0384,650,300,-80,538.4,0.843,2.51,3.97,12.02,95.9,2,8,30.09,0.9,79.91
B0385,700,950,-90,537.0,0.51,2.46,4.36,15.2,81.03,3,10,29.34,2.05,61.47
B0386,250,200,-70,552.2,0.533,1.15,3.27,12.23,43.64,1,3,29.92,3.18,28.14
B0387,450,900,-70,455.6,0.712,2.85,3.71,11.28,102.24,3,3,24.79,2.83,87.25
B0388,300,450,-10,388.3,0.908,3.55,4.97,12.86,89.41,2,6,28.41,2.96,71.58
B0389,850,150,-60,428.1,1.121,4.14,4.61,8.0,96.97,3,4,28.36,0.83,84.36
B0390,150,100,-100,553.4,0.963,3.11,4.2,13.1,81.85,3,8,30.34,1.33,64.55
B0391,750,150,-10,575.5,0.841,2.8,4.53,11.08,90.56,3,7,28.53,2.95,74.95
B0392,500,950,-100,595.5,1.038,2.72,4.32,9.04,92.16,1,1,26.32,4.17,78.8
B0393,500,650,-10,543.7,0.858,2.93,5.28,12.03,74.48,3,8,24.6,2.38,57.17
B0394,350,350,-40,439.3,1.072,2.72,3.5,12.5,62.44,2,5,23.96,2.67,46.44
B0395,350,200,-60,518.3,0.821,4.27,3.86,15.49,67.61,1,6,20.01,2.71,48.26
B0396,600,200,-10,428.3,1.2,3.08,4.32,10.09,68.69,2,7,26.54,3.22,54.28
B0397,300,500,-50,471.5,0.538,3.2,4.76,12.33,87.63,1,5,19.7,1.75,70.54
B0398,500,250,-40,546.8,0.905,2.45,4.97,12.81,83.2,1,9,26.59,4.12,65.42
B0399,250,200,-100,438.0,0.601,0.77,5.13,12.43,58.23,1,8,17.74,3.66,40.67
B0400,400,0,-60,496.3,0.907,0.5,3.75,12.32,119.9,3,7,33.01,3.12,103.83
B0401,200,650,-30,621.0,0.897,1.92,3.53,12.45,75.16,1,8,32.35,2.13,59.18
B0402,900,800,-80,697.8,0.975,3.29,4.09,9.44,70.83,3,3,28.66,2.95,57.3
B0403,850,50,-90,564.6,0.921,2.96,4.91,13.68,62.12,2,4,17.88,2.91,43.53
B0404,450,100,-90,382.8,0.954,2.42,4.18,14.02,87.75,1,2,27.13,1.9,69.55
B0405,900,250,-70,545.2,0.951,2.93,4.03,11.05,76.95,1,1,29.02,1.64,61.87
B0406,150,850,-40,477.5,0.797,2.95,4.51,11.52,76.14,1,3,22.93,2.86,60.11
B0407,800,550,-90,461.2,0.805,3.93,3.97,10.68,84.99,1,8,18.02,2.34,70.34
B0408,50,250,-50,439.5,1.225,2.05,4.33,8.25,59.22,2,8,37.42,3.37,46.64
B0409,200,50,-40,415.3,0.738,1.76,4.2,12.91,85.51,3,1,27.43,1.47,68.4
B0410,250,850,-20,549.8,0.733,2.78,4.23,11.6,77.42,2,8,29.7,2.73,61.59
B0411,250,600,-40,566.6,1.011,2.82,3.91,13.14,93.68,3,3,27.9,3.54,76.63
B0412,100,750,-100,560.2,0.821,2.52,4.16,12.45,85.65,3,7,33.46,2.92,69.04
B0413,150,600,-30,440.3,1.057,2.68,4.11,9.9,72.4,1,1,29.55,3.57,58.39
B0414,700,800,-80,464.3,0.7,3.89,3.74,11.15,86.23,2,4,30.8,3.44,71.34
B0415,400,150,-40,669.7,0.946,2.54,3.64,12.43,70.45,3,3,27.88,2.46,54.38
B0416,0,250,-50,419.7,0.689,2.22,3.33,9.05,90.76,3,2,26.32,2.19,78.38
B0417,750,650,-80,506.3,0.941,2.12,4.71,14.81,100.67,1,10,26.11,3.46,81.15
B0418,350,900,-90,423.2,0.762,1.54,4.88,12.65,84.82,2,10,22.44,2.88,67.29
B0419,150,600,-70,495.5,0.862,1.88,4.57,10.22,90.14,1,5,28.09,2.8,75.35
B0420,150,500,-100,429.1,0.739,3.63,4.45,10.48,64.49,3,4,30.0,3.2,49.56
B0421,500,700,-10,476.5,0.807,2.44,5.85,10.94,66.17,1,1,30.74,2.45,49.38
B0422,850,750,-10,562.8,0.984,2.11,3.94,11.6,56.6,2,9,26.51,1.96,41.06
B0423,850,0,-40,452.0,0.95,3.24,4.16,10.36,64.65,1,7,33.48,3.91,50.13
B0424,550,800,-80,552.3,0.877,2.27,4.21,12.54,87.48,2,6,21.23,2.63,70.73
B0425,200,750,-90,398.7,1.186,3.53,4.23,12.14,108.51,3,7,33.75,1.67,92.14
B0426,300,200,-60,546.2,0.944,2.96,3.07,14.2,81.21,3,10,23.4,2.94,63.94
B0427,700,750,-40,392.8,0.731,1.57,4.76,8.83,71.71,2,1,24.67,2.73,58.12
B0428,800,650,-100,463.8,0.786,3.22,3.93,13.76,73.28,1,6,18.4,2.24,55.59
B0429,750,150,-100,522.3,0.834,2.66,3.88,14.0,64.15,2,1,22.33,2.92,46.27
B0430,400,500,-10,572.2,1.036,2.34,4.41,16.34,88.4,2,8,29.15,2.45,67.65
B0431,600,100,-30,475.6,1.0,2.62,4.01,15.26,103.78,3,4,29.53,1.86,84.51
B0432,150,900,-60,484.9,0.747,2.52,4.06,10.82,87.43,1,6,33.51,1.75,72.55
B0433,500,50,-30,422.1,0.966,1.37,3.6,11.86,126.8,2,2,34.89,1.58,111.34
B0434,650,600,-80,545.9,0.785,2.29,3.47,18.0,95.16,2,10,23.79,3.45,73.69
B0435,700,600,-90,605.0,0.68,2.2,4.59,9.21,67.12,1,2,27.66,3.15,53.32
B0436,350,400,-40,403.2,0.935,1.22,4.4,14.67,87.59,3,2,17.71,3.13,68.52
B0437,250,300,-50,446.9,0.648,2.23,5.2,12.92,72.48,3,6,23.98,2.96,54.36
B0438,150,550,-70,509.0,0.861,2.43,3.25,12.54,74.97,1,3,28.14,1.55,59.18
B0439,450,750,-40,644.7,0.923,4.72,4.13,12.89,83.64,3,9,16.11,1.35,66.62
B0440,950,850,-20,551.7,0.755,1.27,4.01,10.46,114.37,3,3,20.54,1.49,99.9
B0441,450,750,-20,430.3,0.744,2.28,3.93,12.69,63.29,1,3,28.72,2.99,46.67
B0442,950,200,-80,415.8,0.81,2.02,4.53,10.07,81.57,1,3,23.68,1.57,66.97
B0443,300,550,-100,529.0,1.138,1.75,4.2,12.88,77.85,3,7,24.72,3.19,60.77
B0444,200,0,-70,450.1,0.717,3.75,4.69,10.63,94.06,3,1,30.81,3.22,78.74
B0445,300,450,-10,416.7,0.905,3.93,3.51,13.0,87.04,2,3,26.03,2.96,70.53
B0446,700,400,-100,395.1,0.741,1.91,3.99,11.0,85.34,3,8,23.41,2.34,70.35
B0447,800,850,-40,585.5,0.963,3.32,3.48,12.42,92.68,2,3,33.45,3.19,76.78
B0448,850,150,-90,439.3,0.638,3.02,3.67,10.0,86.59,1,8,39.9,2.37,72.92
B0449,950,0,-30,328.7,0.83,2.79,3.43,9.04,83.93,2,1,30.7,3.6,71.46
B0450,50,950,-60,399.4,0.587,2.41,4.69,9.73,67.17,3,4,29.25,3.16,52.75
B0451,600,600,-10,481.1,0.571,3.41,3.98,9.77,86.81,2,2,35.63,1.78,73.06
B0452,850,200,-100,532.0,0.799,3.29,4.3,14.61,62.18,3,8,21.49,1.82,43.27
B0453,350,850,-90,541.9,0.777,2.89,2.93,12.26,68.32,3,8,33.65,2.07,53.13
B0454,500,250,-70,504.3,0.705,1.26,4.59,10.8,73.53,3,5,32.96,2.29,58.14
B0455,550,950,-80,569.2,0.633,3.08,4.17,10.07,81.0,1,3,21.84,1.74,66.76
B0456,800,200,-60,592.6,0.761,3.87,4.28,10.24,110.91,2,10,29.13,3.1,96.39
B0457,150,550,-70,562.7,0.749,2.64,4.9,15.31,46.7,2,2,26.05,2.97,26.49
B0458,950,550,-90,629.8,1.039,2.06,4.37,14.99,92.21,2,7,23.85,2.29,72.85
B0459,150,600,-20,560.0,1.082,3.24,3.25,11.76,102.47,2,7,15.93,3.46,87.46
B0460,800,200,-40,311.3,0.778,3.34,4.5,14.2,107.25,3,5,31.41,2.51,88.55
B0461,450,950,-60,563.9,0.858,2.08,4.75,15.57,81.09,2,5,23.04,1.37,60.77
B0462,750,800,-70,498.6,0.893,2.89,3.22,9.34,84.88,2,6,27.59,1.75,72.32
B0463,700,150,-10,529.4,0.766,3.21,4.23,12.71,97.29,1,6,29.94,2.72,80.35
B0464,50,300,-60,526.4,0.714,1.61,3.36,11.35,75.63,1,7,30.04,3.6,60.92
B0465,650,150,-90,591.1,0.862,3.16,4.77,10.54,62.04,2,10,31.65,2.79,46.73
B0466,800,650,-30,454.8,0.833,2.3,4.31,13.1,112.92,1,10,26.32,1.75,95.51
B0467,350,700,-90,473.4,0.658,2.75,4.12,12.84,63.79,1,5,33.41,2.02,46.83
B0468,350,900,-30,480.2,0.952,2.47,3.99,11.06,113.49,1,5,21.39,2.82,98.44
B0469,650,800,-60,550.5,1.052,2.76,3.71,12.82,64.02,3,3,35.86,1.72,47.49
B0470,200,850,-70,582.1,0.952,3.03,3.87,11.61,83.57,1,4,32.54,3.93,68.09
B0471,950,0,-40,432.1,1.147,2.74,3.91,13.46,79.58,1,2,19.39,3.44,62.21
B0472,450,400,-100,608.2,1.089,2.26,4.44,12.8,73.78,2,2,31.57,2.56,56.54
B0473,850,750,-40,598.3,0.943,1.97,4.2,14.14,89.86,2,10,23.61,3.22,71.52
B0474,0,950,-10,469.5,0.51,3.52,4.06,16.02,95.51,3,1,21.93,2.61,75.43
B0475,50,250,-60,455.4,0.77,2.01,2.77,9.53,72.03,1,1,36.67,2.24,59.73
B0476,300,800,-50,588.3,1.023,1.84,5.05,14.46,66.36,2,7,23.53,2.61,46.85
B0477,250,650,-60,499.0,0.908,1.26,4.8,10.89,104.47,3,9,21.16,0.75,88.78
B0478,300,850,-40,412.5,0.953,3.1,3.71,10.53,73.54,2,10,22.84,2.94,59.3
B0479,700,150,-100,481.8,0.569,2.32,4.14,14.99,66.76,2,4,20.98,2.18,47.63
B0480,450,250,-90,373.2,0.947,2.64,4.31,11.19,79.67,1,9,21.84,3.72,64.17
B0481,650,900,-50,439.3,0.857,3.04,4.93,8.0,88.28,2,4,42.29,2.94,75.35
B0482,100,550,-40,598.7,0.947,2.46,4.93,8.33,96.7,1,9,29.57,2.67,83.44
B0483,100,700,-30,652.6,0.926,1.79,4.13,12.82,61.97,1,9,21.63,1.58,45.02
B0484,400,200,-70,488.8,1.116,2.16,3.4,11.22,82.17,2,7,35.36,2.18,67.55
B0485,350,750,-80,490.0,0.912,1.22,4.47,11.46,101.19,3,7,22.54,2.68,85.26
B0486,300,450,-20,564.8,0.905,3.77,5.25,11.8,62.04,2,9,25.27,3.38,44.99
B0487,650,600,-90,610.8,0.548,2.46,3.77,9.73,66.61,3,7,27.62,2.85,53.11
B0488,150,450,-10,426.1,0.997,1.92,4.22,14.48,86.17,2,7,31.22,2.61,67.47
B0489,950,200,-100,444.0,0.906,3.28,4.26,14.46,76.41,1,3,29.01,2.53,57.69
B0490,850,800,-50,568.9,0.732,1.12,3.81,16.4,91.52,3,7,26.09,3.67,71.31
B0491,700,900,-80,469.1,0.65,3.58,3.15,10.39,90.36,2,5,32.1,3.4,76.82
B0492,250,950,-40,475.2,0.763,1.98,3.48,11.17,55.47,2,2,32.34,3.08,40.82
B0493,250,800,-30,320.7,1.072,3.36,4.49,10.63,72.19,1,7,19.34,2.99,57.07
B0494,50,0,-90,552.1,1.246,2.5,4.18,11.66,86.42,2,1,30.51,2.77,70.58
B0495,700,950,-40,482.3,0.764,0.81,4.17,14.07,68.38,1,5,22.04,2.91,50.14
B0496,950,950,-10,615.2,0.651,1.63,3.55,10.41,91.52,3,7,25.12,1.18,77.56
B0497,250,300,-60,455.3,1.002,2.4,4.26,11.32,71.17,2,7,30.92,2.28,55.59
B0498,500,250,-60,573.4,0.757,2.55,4.36,13.58,75.51,2,5,28.02,3.09,57.57
B0499,750,0,-60,518.6,0.989,2.32,3.87,9.98,95.48,1,7,30.96,2.35,81.63
